   15   -7 -.74310D-05 -.12098D-03
   15   -6 -.30899D-04 0.30963D-04
   15   -5 0.89462D-04 -.96387D-04
   15   -4 0.88391D-04 0.58419D-04
   15   -3 -.99985D-05 0.11910D-03
   15   -2 0.66017D-04 -.35438D-04
   15   -1 -.48132D-04 -.37652D-04
   15    0 -.10362D-03 0.00000D+00
   15    1 0.48132D-04 -.37652D-04
   15    2 0.66017D-04 0.35438D-04
   15    3 0.99985D-05 0.11910D-03
   15    4 0.88391D-04 -.58419D-04
   15    5 -.89462D-04 -.96387D-04
   15    6 -.30899D-04 -.30963D-04
   15    7 0.74310D-05 -.12098D-03
   15    8 0.11680D-03 0.22695D-04
   15    9 0.32835D-05 -.23348D-04
   15   10 0.63364D-04 0.12940D-04
   15   11 -.47195D-04 0.76303D-05
   15   12 0.53934D-04 -.24461D-04
